model,MAE_cv,RMSE_cv,R2_cv
GradientBoosting,118.73920450102999,732.2668210913212,0.5402469490817781
Lasso,155.5650967920266,992.2847767873329,0.6014759971294164
Ridge,157.15646792683165,994.8714147738826,0.6009476001850761
LinearRegression,158.50836343685987,998.5706607214573,0.5980398541047764
KNNRegressor,209.63506462090967,1169.640849562111,0.32315272557733155
